id,type,insight_id,enable,name,display_name,created_at,updated_at
37128993,CustomEvent,3840,1,trackTapBusinessTypeSearchFormSetupButton,【タップ】設定する（【画面】業種を選択）,2018-10-26T10:38:10.512535,2018-10-29T06:14:24.412048
37128723,CustomEvent,3840,1,trackTapCitySearchFormSetupButton,【タップ】設定（【画面】市区町村選択）,2018-10-26T05:56:15.033265,2018-10-29T06:14:24.423855
37131512,CustomEvent,3840,1,trackTapDetailConditionSearchFormSetupButton,【タップ】設定（【画面】こだわり条件選択）,2018-10-29T02:59:58.035719,2018-10-29T06:14:24.435486
37131510,CustomEvent,3840,1,trackTapEmploymentSalarySearchFormSetupButton,【タップ】設定（【画面】働き方/給与選択）,2018-10-29T02:58:43.160806,2018-10-29T06:14:24.447192
35420437,CustomEvent,3840,1,trackTapEntryButton,【タップ】応募,2017-09-15T06:04:14.831161,2018-01-16T02:32:31.417891
35418075,CustomEvent,3840,1,trackTapEntryDetailDecline,【タップ】辞退する,2017-09-05T14:34:44.138480,2018-01-16T02:32:31.417891
35418005,CustomEvent,3840,1,trackTapEntryInputJobCredential,【タップ】資格と経験入力,2017-09-05T10:39:59.676701,2018-01-16T02:32:31.417891
35418004,CustomEvent,3840,1,trackTapEntryInputJobType,【タップ】職種選択,2017-09-05T10:39:59.676701,2018-01-16T02:32:31.417891
37131894,CustomEvent,3840,1,trackTapJobBrowseListEntryButton,【タップ】応募（【画面】閲覧履歴）,2018-10-29T09:52:39.241843,2018-10-30T01:59:42.540118
37131337,CustomEvent,3840,1,trackTapJobBrowseListJobDetailAnchor,【タップ】求人（【画面】閲覧履歴）,2018-10-28T16:47:43.017068,2018-10-29T06:14:24.462180
37131497,CustomEvent,3840,1,trackTapJobBrowseListKeepAddButton,【タップ】キープ（【画面】閲覧履歴）,2018-10-29T02:52:30.287927,2018-10-29T06:14:24.473639
37131895,CustomEvent,3840,1,trackTapJobBrowseListKeepReleaseButton,【タップ】キープ解除（【画面】閲覧履歴）,2018-10-29T09:52:39.260631,2018-10-30T01:59:24.244052
37131655,CustomEvent,3840,1,trackTapJobDescriptionSearchFormSetupButton,【タップ】設定（【画面】仕事内容選択）,2018-10-29T05:39:29.617659,2018-10-30T01:56:59.855917
37128703,CustomEvent,3840,1,trackTapJobDetailAnchor,【タップ】求人詳細を見る,2018-10-26T05:31:48.991614,2018-10-29T06:14:24.485897
35420408,CustomEvent,3840,1,trackTapJobDetailEntry,【タップ】Webで応募,2017-09-15T04:22:42.353399,2018-01-16T02:32:31.417891
35418050,CustomEvent,3840,1,trackTapJobDetailEntryTel,【タップ】電話で応募,2017-09-05T11:22:02.937497,2018-01-16T02:32:31.417891
